color_name,hex_code,sound_name,rgb_values,sound_frequency,color_family,sound_duration,color_intensity,sound_waveform,color_saturation
Indigo,#aff470,soft,0,Often,warm colors,2731.84,70.88,triangle wave,95.16
Goldenrod,#1d8d58,soft,-255,Weekly,cool colors,3328.42,79.46,square wave,76.89
Aquamarine,#edf73c,loud,0),Daily,neutral colors,3223.96,92.57,square wave,81.43
Orange,#8982c8,soft,255,Weekly,warm colors,3064.53,83.34,sine wave,82.37
Crimson,#3fc69a,loud,-255,Seldom,neutral colors,2167.57,85.8,square wave,66.35
Green,#ec0a74,high-pitched,0),Weekly,cool colors,3334.53,69.46,sine wave,61.14
Blue,#322502,low-pitched,0,Yearly,warm colors,3482.85,76.97,sine wave,24.1
Purple,#539afd,high-pitched,0),Never,warm colors,924.72,36.02,sine wave,11.86
Puce,#6d94bc,high-pitched,0),Daily,cool colors,1465.37,44.83,sine wave,6.45
Pink,#a7fcbe,low-pitched,0,Seldom,neutral colors,2301.73,84.38,sine wave,1.93
Purple,#7a182b,low-pitched,0),Yearly,cool colors,1694.76,63.57,sine wave,19.9
Teal,#97e4ca,low-pitched,0,Yearly,neutral colors,1168.83,52.75,sine wave,83.3
Crimson,#7308a9,loud,0,Weekly,cool colors,267.73,14.44,sine wave,20.23
Turquoise,#ce51b9,low-pitched,255,Never,cool colors,3227.54,94.21,square wave,78.14
